origin,destination,transfer_count,avg_success_delta
Purdue,California,3,-0.1895
Purdue,Charlotte,4,-0.0025000000000000005
Purdue,Florida Atlantic,3,0.007766666666666662
Purdue,Louisville,3,-0.04970000000000001
Purdue,Minnesota,3,-0.14020000000000002
Purdue,South Alabama,3,-0.013333333333333336
Purdue,Temple,3,0.0
Purdue,Western Michigan,3,0.13749999999999998
Richmond,James Madison,3,-0.35073333333333334
Rutgers,Florida Atlantic,3,0.0
Rutgers,Louisville,3,0.05000000000000001
Rutgers,Massachusetts,7,0.03581428571428571
Rutgers,Rhode Island,3,0.0
SMU,Sam Houston,3,0.255
SMU,Texas State,5,-0.07774
Sam Houston,North Texas,7,-0.4059285714285714
San Diego State,Arizona State,3,-0.5559000000000001
San Diego State,Charlotte,4,0.0857
San Diego State,Sacramento State,3,-0.04743333333333333
San José State,Arizona,6,-0.40208000000000005
San José State,Portland State,4,-0.24232499999999998
San José State,USC,3,-0.1632
South Carolina,App State,4,-0.010000000000000002
South Carolina,Florida State,5,-0.25817500000000004
South Carolina,Georgia Tech,3,0.08803333333333334
South Carolina,Jackson State,3,-0.10500000000000002
South Carolina,Syracuse,3,0.23313333333333333
South Dakota State,Washington State,16,-0.059320000000000005
South Florida,Arkansas,3,-0.19513333333333338
South Florida,Colorado,3,-0.36673333333333336
South Florida,Florida A&M,3,-0.010000000000000002
Southern Miss,Arkansas State,3,-0.2160666666666667
Southern Miss,Tulane,3,-0.30173333333333335
Southern Utah,BYU,5,0.0
Stanford,BYU,3,-0.31540000000000007
Stanford,Indiana,3,-0.1541666666666667
Stanford,Oklahoma,3,0.0
Stanford,Utah,3,-0.7441666666666666
Stephen F. Austin,Louisiana Tech,4,-0.034866666666666664
Syracuse,Akron,3,-0.09016666666666667
Syracuse,Florida International,3,-0.07519999999999998
Syracuse,Kent State,3,-0.14573333333333335
Syracuse,Texas State,3,-0.010000000000000002
TCU,New Mexico,5,0.09880000000000001
TCU,North Texas,6,-0.026099999999999995
TCU,UTSA,3,0.03616666666666665
Temple,Rutgers,3,0.29750000000000004
Tennessee,Colorado,4,0.09749999999999999
Tennessee,Indiana,3,0.0356
Tennessee,Jacksonville State,3,0.19036666666666666
Tennessee,Louisville,5,-0.39102000000000003
Tennessee,Memphis,4,-0.22437500000000002
Tennessee,Oklahoma,4,0.22883333333333333
Tennessee,South Florida,4,0.09226666666666665
Tennessee,Tennessee State,3,0.0
Texas,Arizona State,4,-0.04972499999999999
Texas,Mississippi State,3,0.13
Texas,Nebraska,3,-0.5401666666666668
Texas,Nevada,3,-0.10093333333333333
Texas,SMU,7,0.0736
Texas,TCU,3,0.21793333333333334
Texas,USC,4,-0.2072
Texas A&M,Alabama,3,0.0
Texas A&M,Charlotte,5,0.15808
Texas A&M,Georgia Tech,3,0.11069999999999998
Texas A&M,Houston,3,-0.1574
Texas A&M,LSU,3,-0.036666666666666674
Texas A&M,Ole Miss,3,-0.30970000000000003
Texas A&M,SMU,3,0.065
Texas State,Abilene Christian,4,0.047625
Texas State,Incarnate Word,3,-0.056666666666666664
Texas State,UTEP,3,-0.042133333333333335
Texas Tech,Abilene Christian,5,0.06616000000000001
Texas Tech,Houston,6,-0.07748000000000001
Texas Tech,Indiana,3,-0.2888
Texas Tech,North Texas,6,-0.07318000000000001
Troy,Tulane,6,0.10083333333333332
Troy,Western Kentucky,4,-0.24833333333333338
Tulane,Houston,4,0.251875
Tulsa,Houston,4,-0.450275
Tulsa,Marshall,3,-0.2031666666666667
Tulsa,North Texas,3,-0.2898
Tulsa,Oklahoma State,4,-0.43312500000000004
UAB,Florida International,3,-0.1364
UAB,UL Monroe,3,-0.016300000000000002
UCF,Boston College,3,-0.06806666666666666
UCF,East Tennessee State,4,-0.0125
UCF,Florida State,5,-0.08099999999999999
UCF,Georgia State,4,0.081675
UCF,Middle Tennessee,3,0.0
UCF,Ole Miss,3,-0.5398999999999999
UCF,South Florida,3,0.0
UCLA,Arizona,3,0.04833333333333333
UCLA,Oklahoma State,3,-0.1125
UCLA,San José State,3,-0.018533333333333336
UCLA,USC,3,-0.33536666666666665
UL Monroe,Jackson State,4,-0.21166666666666667
UL Monroe,North Texas,9,-0.4436444444444445
UL Monroe,Tulane,3,-0.4478333333333333
UL Monroe,UL Monroe,7,-0.31018333333333337
UNLV,Purdue,10,-0.10697777777777778
UNLV,Sacramento State,4,-0.131275
USC,Arizona State,3,0.5003
USC,Fresno State,5,0.3275
USC,Georgia,3,-0.31939999999999996
USC,Hawai'i,3,0.0625
USC,Houston,3,0.023266666666666668
USC,Kentucky,3,-0.1075
USC,Ole Miss,3,0.26339999999999997
USC,Oregon,3,-0.06810000000000001
USC,San José State,3,0.002500000000000021
USC,Tennessee,3,0.07496666666666667
USC,UCLA,3,-0.10083333333333333
USC,Utah,4,-0.08226666666666665
UTEP,Florida Atlantic,3,-0.12666666666666668
UTEP,Prairie View A&M,3,-0.005000000000000001
UTEP,Southern Miss,3,-0.015
UTEP,Texas State,4,-0.34495000000000003
Utah,Arizona,3,0.23010000000000005
Utah,BYU,5,-0.20692000000000005
Utah,California,4,0.03447499999999999
Utah,Fresno State,3,0.018233333333333338
Utah,Hawai'i,3,0.0
Utah,San José State,3,0.0
Utah,USC,3,0.20976666666666668
Utah,Utah State,3,0.10163333333333335
Utah State,BYU,6,-0.07168333333333334
Utah State,Kansas,4,-0.15625
Utah State,Oklahoma State,3,-0.19753333333333334
Utah State,Southern Miss,3,-0.11793333333333335
Utah State,Texas State,4,-0.009374999999999994
Utah State,Washington State,3,-0.11499999999999998
Vanderbilt,Florida A&M,3,0.27033333333333337
Vanderbilt,Samford,3,-0.059166666666666666
Virginia,Virginia,3,0.04833333333333334
Virginia Tech,App State,3,-0.006666666666666668
Virginia Tech,Cincinnati,3,-0.15583333333333335
Virginia Tech,UCF,3,-0.16416666666666666
Wake Forest,Indiana,3,-0.2585
Wake Forest,Liberty,3,0.17556666666666668
Washington,Alabama,4,-0.055400000000000046
Washington,California,4,-0.20955000000000001
Washington,North Carolina,4,-0.26375000000000004
Washington,Ole Miss,3,0.0
Washington,San Diego State,3,0.16893333333333335
Washington,UCLA,3,0.4583
Washington,Utah,4,-0.03875
Washington State,Arizona State,4,-0.181875
Washington State,Eastern Washington,3,-0.1724
Washington State,Idaho,4,0.0
Washington State,Miami,3,-0.020833333333333297
